,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
ALBANIA,,,,,,,,,,,,2014
ALGERIA,,,,,,,,,,,,2014
ARGENTINA,"67,803","14,633",411,24,113,0,59,"68,353","1,436,108",0,"179,399",2014
ARMENIA,457,32,2,2,0,314,0,208,427,,,2014
AUSTRALIA,"68,507","14,088","1,118",0,"1,613","32,177",383,"70,041",,,,2014
AUSTRIA,"8,075","1,433",11,11,265,"56,703",101,"9,053","528,275","645,000","502,000",2014
AZERBAIJAN,,,,,,,,,,,,2014
BAHRAIN,90,18,0,0,0,21,0,114,297,297,52,2014
BELARUS,,,202,8,33,"43,110",32,"32,090","250,000","120,380","58,000",2014
BELGIUM,,,,,,,,,,,,2014
BOLIVIA,"3,237",700,27,3,12,560,6,"4,578","15,099","5,000",560,2014
BOSNIA AND HERZEGOVINA,,,,,,,,,,,,2014
BRAZIL,,,,,,,,,,,,2014
BULGARIA,"3,591",,8,51,61,0,58,"3,881","27,800",,,2014
CHILE,,,,,,,,,,,,2014
CHINA,"56,472","15,611",219,34,0,"116,885",128,"58,224","372,545",0,0,2014
COLOMBIA,,,,,,,,,,,,2014
COSTA RICA,"2,690","1,100",2,2,12,900,8,"2,690","2,690","3,000","2,000",2014
CROATIA,"10,038","1,995",14,17,119,"3,753",137,"10,503","252,012","400,000",,2014
CUBA,,,,,,,,,,,,2014
CYPRUS,"1,266",317,7,6,27,390,15,"1,355","44,511",0,"15,461",2014
CZECH REPUBLIC,,,,,,,,,,,,2014
DENMARK,"18,748","3,704",14,10,192,"33,111",68,"20,293","850,000","500,000","500,000",2014
DOMINICAN REPUBLIC,665,216,22,0,4,77,11,713,"83,000","1,900,000","350,000",2014
ECUADOR,,,,,,,,,,,,2014
EGYPT,312,40,4,3,0,13,0,602,,,,2014
EL SALVADOR,,,,,,,,,,,,2014
ESTONIA,"4,004",,21,10,36,"1,532",110,"4,862",,,,2014
FINLAND,"46,426","9,451",19,26,198,"149,439","1,994","48,874","530,000","600,000","500,000",2014
FRANCE,"214,812","44,680",87,34,539,"250,000","1,472","218,320","2,200,000","7,500,000","6,000,000",2014
GEORGIA,"1,502",247,5,5,7,39,9,"1,537","34,992",,"19,348",2014
GERMANY,"77,351",,6,21,872,"389,279",177,,,"6,900,000","10,000,000",2014
GIBRALTAR,,,,,,,,,,,,2014
GREECE,"6,961","1,378",20,13,26,446,78,"7,453","133,662",,"27,727",2014
