,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
ALBANIA,,,,,,,,,,,,2016
ALGERIA,,,,,,,,,,,,2016
ARGENTINA,"62,109","13,326",401,28,135,0,60,"62,561","1,559,980",,"192,446",2016
ARMENIA,589,57,4,4,0,361,3,262,907,,,2016
AUSTRALIA,,,,0,,,377,,,,,2016
AUSTRIA,"8,050","1,430",12,12,275,"58,052",105,"9,090","546,527","655,000","509,000",2016
AZERBAIJAN,,,,,,,,,,,,2016
BAHRAIN,155,33,0,1,1,21,0,151,581,619,133,2016
BELARUS,,,,,,,,,,,,2016
BELGIUM,"17,859","3,321",3,11,329,"53,727",504,"17,968","1,181,713","164,424",,2016
BOLIVIA,"3,715",871,42,5,13,757,12,"5,393","25,851","6,000",757,2016
BOSNIA AND HERZEGOVINA,"6,940","1,677",19,9,97,940,64,"7,119","38,510","48,929","55,000",2016
BRAZIL,"159,787","45,660",649,55,338,0,85,"159,787","2,556,747","45,271,787","87,363",2016
BULGARIA,"3,911",906,4,53,54,0,58,"4,225","37,956",,,2016
CHILE,,,,,,,,,,,,2016
CHINA,"85,942","30,086",364,107,48,"27,054",161,"88,210","439,420","88,210","16,986",2016
COLOMBIA,"1,995",694,45,7,15,132,12,"2,285","68,130","68,130","37,600",2016
COSTA RICA,"2,371","1,225",2,2,13,990,8,"2,371","3,000","2,371","1,850",2016
CROATIA,"10,114","1,998",13,20,126,"3,678",135,"10,619","273,483",,,2016
CUBA,,,,,,,,,,,,2016
CYPRUS,"1,096",265,7,6,31,"1,087",15,"1,151","47,568",,"16,103",2016
CZECH REPUBLIC,"39,853","8,224",15,10,330,"49,776",160,"41,132","1,556,915","2,000,000","1,500,000",2016
DENMARK,"20,958","4,657",4,11,183,"30,200",72,"22,311","520,000","575,000","470,000",2016
DOMINICAN REPUBLIC,822,253,1,0,2,450,5,876,"12,000","1,900,000","400,000",2016
ECUADOR,,,,,,,,,,,,2016
EGYPT,"1,200",250,4,5,0,270,5,"1,300","4,200",,"2,000",2016
EL SALVADOR,,,,,,,,,,,,2016
ESTONIA,"3,945",935,31,9,37,"1,858",114,"4,522","61,324",,,2016
FINLAND,"46,237","10,640",18,27,187,"146,111","2,058","48,639","530,000","600,000","500,000",2016
FRANCE,"227,993","45,952",98,30,497,"250,000","1,453","230,341","2,630,000","7,000,000","5,000,000",2016
GEORGIA,"1,914",337,9,7,4,16,12,"2,071","41,571","47,903","21,251",2016
GERMANY,"77,509","14,772",6,20,880,"379,539",177,,,"6,900,000","10,000,000",2016
GIBRALTAR,106,23,0,2,5,900,8,127,"4,789","2,600","2,000",2016
GREECE,"7,286","1,489",30,15,27,483,62,"7,557","152,156",,,2016
GUATEMALA,"3,256",919,20,6,5,"6,015",6,"3,306","62,561",,,2016
HONDURAS,,,,,,,,,,,,2016
HONG KONG,450,110,12,2,,800,2,664,"200,000","700,000","300,000",2016
HUNGARY,"12,986","2,909",14,24,126,"5,850",170,"15,704","1,162,750","3,000,000","2,500,000",2016
ICELAND,"1,131",293,1,4,10,"3,132",31,"1,236","22,829","20,000","17,000",2016
INDIA,"38,883","6,379",146,3,16,369,82,"39,194","775,853","155,000,000","68,000,000",2016
INDONESIA,"32,969","11,264",28,10,44,"4,511",13,"33,216","398,886",,"4,511",2016
IRAN (ISLAMIC REPUBLIC OF),172,49,0,0,0,5,5,56,121,"12,000","24,000",2016
IRELAND,"17,189","3,621",26,5,,"25,443",220,"17,189",,,,2016
ISRAEL,,,,,,,,,,,,2016
ITALY,"165,368","36,897",44,78,346,"1,514",74,"168,696","7,010,860","15,000,000","7,000,000",2016
