,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
ALBANIA,,,,,,,,,,,,2018
ALGERIA,"1,236",309,0,0,0,"1,022",16,"1,330","3,318","9,000","4,000",2018
ARGENTINA,"53,714","11,357",358,24,154,0,62,"54,205","1,610,076",,"203,452",2018
ARMENIA,624,97,4,4,0,341,3,398,"1,675",,,2018
AUSTRALIA,"69,918","14,042","1,375",4,"1,144","32,270","1,004","69,336",,,"83,835",2018
AUSTRIA,"7,504","1,295",12,12,282,"58,550",205,"8,690","563,953","665,000","510,500",2018
AZERBAIJAN,,,,,,,,,,,,2018
BAHRAIN,334,82,1,2,1,21,0,308,"3,281","4,962","2,700",2018
BELARUS,,457,320,8,33,,30,,,,,2018
BELGIUM,,,,,,,,,,,,2018
BOLIVIA,"3,800","1,010",33,4,13,880,12,"5,240","35,400","3,000,000","750,000",2018
BOSNIA AND HERZEGOVINA,"6,842","1,398",31,13,70,950,59,"7,130","31,416",,,2018
BRAZIL,"143,424","42,108",628,58,244,0,77,"143,424","2,848,814","45,833,315","87,622",2018
BULGARIA,"3,981","1,016",6,54,48,"1,870",46,"4,254","46,620",,,2018
CHILE,,,,,,,,,,,,2018
CHINA,"75,065","40,125",525,113,39,"31,195",158,"80,231","621,011","84,002","19,632",2018
COLOMBIA,"1,741",467,48,6,14,136,12,"1,926","72,164",,,2018
COSTA RICA,"3,000",600,20,12,5,800,200,"3,000",,"8,000","7,500",2018
CROATIA,"9,923","1,990",18,20,118,"3,675",135,"10,157","294,345","350,000",,2018
CUBA,,,,,,,,,,,,2018
CYPRUS,,,,,,,,,,,,2018
CZECH REPUBLIC,"42,224","8,362",15,10,324,"49,912",168,"43,694","1,641,199","2,000,000","1,500,000",2018
DENMARK,"19,308","5,363",16,12,180,"26,140",69,"20,687","1,770,000","570,000","470,000",2018
DOMINICAN REPUBLIC,,,,,,,,,,,,2018
ECUADOR,,,,,,,,,,,,2018
EGYPT,"2,347",,3,3,0,411,8,"2,709","8,898","946,000","600,000",2018
EL SALVADOR,,,,,,,,,,,,2018
ESTONIA,"4,297",923,25,10,36,"2,351",119,"4,872","71,134",,,2018
FINLAND,"47,325","9,117",28,18,201,"145,171","2,069","49,890","600,000","800,000","500,000",2018
FRANCE,"230,740","45,731",67,28,571,"250,000","1,530","234,073","3,099,726","7,340,000","6,000,000",2018
GEORGIA,"3,157",558,9,7,4,16,12,"3,347","46,542","53,768","21,644",2018
GERMANY,"75,035","13,764",5,20,880,"378,722",180,,,"9,400,000","10,000,000",2018
GIBRALTAR,,,,,,,,,,,,2018
GREECE,"7,525","1,561",34,19,34,676,72,"7,916","168,515",,,2018
GUATEMALA,"3,301",928,20,6,5,"7,025",7,"3,366","69,387",,,2018
HONDURAS,,,,,,,,,,,,2018
HONG KONG,,,,,,,,,,,,2018
HUNGARY,"18,817","4,214",23,23,139,"7,074",168,"20,008","1,198,914","3,000,000","2,500,000",2018
ICELAND,"1,307",305,3,3,10,"3,400",29,"1,399","25,097","30,000","30,000",2018
INDIA,"44,584","6,523",154,3,8,377,91,"44,714","861,001","15,794,584","68,356,000",2018
INDONESIA,,,,,,,,,,,,2018
IRAN (ISLAMIC REPUBLIC OF),537,271,0,0,0,400,91,657,"3,770","3,000,000","2,000,000",2018
IRELAND,"17,182","2,730",31,6,,"26,194",200,"17,182",,,,2018
ISRAEL,,,,,,,,,,,,2018
