,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
ALBANIA,,,,,,,,,,,,2017
ALGERIA,446,88,7,3,0,590,5,446,"1,988","3,000",492,2017
ARGENTINA,"57,582","12,294",407,24,144,0,62,"58,063","1,618,043",,"198,725",2017
ARMENIA,601,89,4,4,0,308,3,370,"1,277",,,2017
AUSTRALIA,"69,918","14,319","1,142",0,"1,787","32,872",403,"70,524",,,"97,145",2017
AUSTRIA,"7,684","1,351",12,12,280,"57,989",206,"8,736","555,263","656,000","510,000",2017
AZERBAIJAN,,,,,,,,,,,,2017
BAHRAIN,182,49,0,1,0,29,0,188,"2,973","4,500","2,500",2017
BELARUS,"2,015",403,315,8,33,"44,200",32,,"34,020",,,2017
BELGIUM,"22,494","3,461",3,11,329,"53,465",505,"23,515",,,,2017
BOLIVIA,"4,308","1,021",39,3,13,820,12,"5,908","30,160","7,000",820,2017
BOSNIA AND HERZEGOVINA,"6,860","1,426",19,9,97,"1,394",72,"7,865","39,608",,,2017
BRAZIL,"148,946","42,235",649,55,242,0,79,"148,946","2,705,390","45,689,891","86,308",2017
BULGARIA,"3,952",984,8,51,59,0,58,"4,414","42,368",,,2017
CHILE,,,,,,,,,,,,2017
CHINA,"70,528","42,087",583,117,37,"33,921",162,"77,211","534,489","76,557","18,664",2017
COLOMBIA,"2,010",609,45,5,22,134,13,"2,196","70,070",,,2017
COSTA RICA,,,,,,,,,,,,2017
CROATIA,"10,217","2,018",17,20,127,"4,785",136,"10,705","284,188","350,000",,2017
CUBA,,,,,,,,,,,,2017
CYPRUS,"1,551",349,7,6,33,"1,204",15,"1,202","48,648",0,"16,635",2017
CZECH REPUBLIC,"40,728","8,231",15,10,324,"50,300",169,"42,060","1,598,975","2,000,000","1,500,000",2017
DENMARK,"19,156","5,320",14,10,175,"26,336",72,"20,555","1,750,000","570,000","470,000",2017
DOMINICAN REPUBLIC,,,,,,,,,,,,2017
ECUADOR,,,,,,,,,,,,2017
EGYPT,"1,548",327,4,5,0,306,9,"1,756","5,790",,,2017
EL SALVADOR,,,,,,,,,,,,2017
ESTONIA,"4,298",931,28,11,37,"2,167",114,"4,938","66,262",,,2017
FINLAND,"46,546","9,287",19,27,182,"148,071","2,062","49,051","600,000","800,000","500,000",2017
FRANCE,"231,621","46,848",97,36,560,"250,000","1,522","235,312","2,865,653","7,340,000","6,000,000",2017
GEORGIA,"1,643",286,7,6,4,16,12,"1,814","43,385","48,722","21,059",2017
GERMANY,"75,877","14,149",6,19,896,"378,673",181,,,"9,400,000","10,000,000",2017
GIBRALTAR,,,,,,,,,,,,2017
GREECE,"8,108","1,042",29,16,31,590,71,"8,443","160,599",,,2017
GUATEMALA,,,,,,,,,,,,2017
HONDURAS,,,,,,,,,,,,2017
HONG KONG,,,,,,,,,,,,2017
HUNGARY,"15,163","4,328",23,21,139,"6,547",155,"16,156","1,178,906","3,000,000","2,500,000",2017
ICELAND,"1,183",270,1,4,10,"3,242",31,"1,275","24,104","30,000","30,000",2017
INDIA,"40,088","6,403",140,2,7,376,89,"40,434","816,287","157,500,000","68,350,000",2017
INDONESIA,,,,,44,,13,,,,,2017
IRAN (ISLAMIC REPUBLIC OF),310,200,0,0,0,145,20,50,"12,000","24,000","24,000",2017
IRELAND,"18,200","2,945",31,5,,"25,717",202,"18,200",,,,2017
ISRAEL,,,,,,,,,,,,2017
ITALY,"163,853","36,746",52,76,353,"1,547",74,"167,123","7,206,621","15,000,000","7,000,000",2017
JAPAN,"295,660","104,295",152,15,141,"76,809",886,"295,910","15,401,120","8,920,000",,2017
JORDAN,,,,,,,,,,,,2017
KAZAKHSTAN,,,,,,,,,,,,2017
KIRGHIZISTAN,750,130,8,4,2,"1,025",5,830,"10,295",,,2017
KOREA (REPUBLIC OF),"19,896",,25,23,133,,104,"21,355",,,,2017
KOSOVO,451,104,0,2,0,463,21,564,"3,115","10,000","8,000",2017
KUWAIT,,,,,,,,,,,,2017
LATVIA,"2,104",538,16,4,13,"2,331",36,"2,471","54,793","150,000","60,000",2017
LEBANON,,,,,,,,,,,,2017
LITHUANIA,"6,508","1,447",38,11,35,"4,000",48,"7,107","117,370","300,000","150,000",2017
LUXEMBOURG,185,37,0,2,13,"2,350",12,247,"51,350","55,500","48,600",2017
MALAYSIA,"7,599","2,092",29,10,10,"2,170",3,"7,860","266,165","394,800",,2017
MALTA,"1,614",453,10,4,2,885,1,"1,356","46,467","58,310","42,000",2017
