,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
ALBANIA,,,,,,,,,,,,2021
ALGERIA,,,,,,,,,,,,2021
ARGENTINA,"56,414","12,028",229,3,169,0,63,"56,741","1,709,069",,"215,454",2021
ARMENIA,,,,,,,,,,,,2021
AUSTRALIA,"78,197","15,281",716,1,"1,838","30,272","1,069","78,580",,,"64,405",2021
AUSTRIA,"8,521","1,521",2,2,231,"58,761",104,"9,565","592,780","825,000","752,000",2021
AZERBAIJAN,,,,,,,,,,,,2021
BAHRAIN,233,55,0,0,1,121,0,252,"4,036","6,791","2,543",2021
BELARUS,,,,,,,,,,,,2021
BELGIUM,,,,,,,,,,,,2021
BOLIVIA,,,,,,,,,,,,2021
BOSNIA AND HERZEGOVINA,"8,417","1,647",20,22,40,"1,365",52,"8,654","119,917",,,2021
BRAZIL,"150,102","45,729",153,26,83,13,80,"150,649","3,548,134","55,900,000","55,000,000",2021
BULGARIA,,,,,,,,,,,,2021
CHILE,"15,709","3,804",4,0,24,,20,,"591,369","3,800,000","3,500,000",2021
CHINA,,,,,,,,,,,,2021
COLOMBIA,"2,609",634,8,0,24,108,13,"2,777","74,990","74,990",,2021
COSTA RICA,,,,,,,,,,,,2021
CROATIA,"13,413","2,653",10,10,110,"4,380",127,"14,083","331,020","360,000",,2021
CUBA,"1,219",190,2,0,3,0,11,"1,235","26,676",,"13,502",2021
CYPRUS,,,,,,,,,,,,2021
CZECH REPUBLIC,"52,818","10,432",4,9,326,"50,115",168,"54,853","1,745,881","2,000,000","1,500,000",2021
DENMARK,"26,485","5,027",11,7,210,"29,778",70,"28,292","1,835,000","630,000","505,000",2021
DOMINICAN REPUBLIC,"2,003",689,12,4,1,650,6,"1,943","18,426",,,2021
ECUADOR,,,,,,,,,,,,2021
EGYPT,,,,,,,,,,,,2021
EL SALVADOR,,,,,,,,,,,,2021
ESTONIA,"5,413","1,139",20,13,32,"2,328",126,"5,945","103,171",,,2021
FINLAND,"50,441","10,559",14,9,202,"149,504","2,218","52,771","1,860,356","700,000","500,000",2021
FRANCE,"272,807","50,765",145,12,590,"250,000","1,545","275,407","3,854,488","7,600,000","6,000,000",2021
GEORGIA,"4,460","1,351",12,7,19,43,14,"4,716","62,461","74,291","44,500",2021
GERMANY,,,,,857,,180,,,,,2021
GIBRALTAR,,,,,,,,,,,,2021
GREECE,"9,628","1,707",6,15,33,"1,130",63,"8,791","194,427",,,2021
GUATEMALA,"3,584",984,20,6,6,"9,078",6,"3,671","79,437",,,2021
HONDURAS,,,,,,,,,,,,2021
HONG KONG,,,,,,,,,,,,2021
HUNGARY,"26,292","5,688",16,29,108,"7,886",179,"27,590","1,270,094","4,000,000","3,000,000",2021
ICELAND,"2,509",538,2,1,12,"4,600",28,"2,585","31,397",,,2021
INDIA,"88,261","8,500",24,0,19,368,82,"89,571","1,050,786","16,094,789","68,611,000",2021
